file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,206,css,8be1a539,sopannair,2025-10-31,18:56:49,-07:00,2025-10-31T18:56:49-07:00,1,65
style.css,207,css,8be1a539,sopannair,2025-10-31,18:56:49,-07:00,2025-10-31T18:56:49-07:00,1,57
style.css,208,css,8be1a539,sopannair,2025-10-31,18:56:49,-07:00,2025-10-31T18:56:49-07:00,1,61
style.css,209,css,8be1a539,sopannair,2025-10-31,18:56:49,-07:00,2025-10-31T18:56:49-07:00,1,19
style.css,210,css,8be1a539,sopannair,2025-10-31,18:56:49,-07:00,2025-10-31T18:56:49-07:00,0,0
style.css,211,css,8be1a539,sopannair,2025-10-31,18:56:49,-07:00,2025-10-31T18:56:49-07:00,0,0
style.css,212,css,8be1a539,sopannair,2025-10-31,18:56:49,-07:00,2025-10-31T18:56:49-07:00,0,67
style.css,213,css,8be1a539,sopannair,2025-10-31,18:56:49,-07:00,2025-10-31T18:56:49-07:00,0,18
style.css,214,css,8be1a539,sopannair,2025-10-31,18:56:49,-07:00,2025-10-31T18:56:49-07:00,1,14
style.css,215,css,8be1a539,sopannair,2025-10-31,18:56:49,-07:00,2025-10-31T18:56:49-07:00,1,56
style.css,216,css,8be1a539,sopannair,2025-10-31,18:56:49,-07:00,2025-10-31T18:56:49-07:00,1,11
style.css,217,css,8be1a539,sopannair,2025-10-31,18:56:49,-07:00,2025-10-31T18:56:49-07:00,1,58
style.css,218,css,8be1a539,sopannair,2025-10-31,18:56:49,-07:00,2025-10-31T18:56:49-07:00,1,16
style.css,219,css,8be1a539,sopannair,2025-10-31,18:56:49,-07:00,2025-10-31T18:56:49-07:00,1,13
style.css,220,css,8be1a539,sopannair,2025-10-31,18:56:49,-07:00,2025-10-31T18:56:49-07:00,0,0
style.css,221,css,8be1a539,sopannair,2025-10-31,18:56:49,-07:00,2025-10-31T18:56:49-07:00,0,0
style.css,222,css,8be1a539,sopannair,2025-10-31,18:56:49,-07:00,2025-10-31T18:56:49-07:00,0,36
style.css,223,css,8be1a539,sopannair,2025-10-31,18:56:49,-07:00,2025-10-31T18:56:49-07:00,0,7
style.css,224,css,8be1a539,sopannair,2025-10-31,18:56:49,-07:00,2025-10-31T18:56:49-07:00,1,52
style.css,225,css,8be1a539,sopannair,2025-10-31,18:56:49,-07:00,2025-10-31T18:56:49-07:00,1,15
style.css,226,css,8be1a539,sopannair,2025-10-31,18:56:49,-07:00,2025-10-31T18:56:49-07:00,1,8
style.css,227,css,8be1a539,sopannair,2025-10-31,18:56:49,-07:00,2025-10-31T18:56:49-07:00,1,20
style.css,228,css,8be1a539,sopannair,2025-10-31,18:56:49,-07:00,2025-10-31T18:56:49-07:00,1,34
style.css,229,css,8be1a539,sopannair,2025-10-31,18:56:49,-07:00,2025-10-31T18:56:49-07:00,1,20
style.css,230,css,8be1a539,sopannair,2025-10-31,18:56:49,-07:00,2025-10-31T18:56:49-07:00,0,0
style.css,231,css,8be1a539,sopannair,2025-10-31,18:56:49,-07:00,2025-10-31T18:56:49-07:00,1,12
style.css,232,css,8be1a539,sopannair,2025-10-31,18:56:49,-07:00,2025-10-31T18:56:49-07:00,1,57
style.css,233,css,8be1a539,sopannair,2025-10-31,18:56:49,-07:00,2025-10-31T18:56:49-07:00,1,46
style.css,234,css,8be1a539,sopannair,2025-10-31,18:56:49,-07:00,2025-10-31T18:56:49-07:00,0,0
style.css,235,css,8be1a539,sopannair,2025-10-31,18:56:49,-07:00,2025-10-31T18:56:49-07:00,0,0
